iyear,imonth,iday,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,gname,individual,weaptype1,nkill,property,ishostkid,attack_date
2016,1,31,0,42,11,147,-1,13.449147,14.734772,1.0,0,0.0,1,1,3,14,-1,42.0,0,0,6,4.0,-9,0.0,2016-01-31
2016,1,31,0,42,11,147,-1,13.450486,14.733981,2.0,0,0.0,1,1,3,14,287,42.0,0,0,6,3.0,-9,0.0,2016-01-31
2016,2,1,0,160,5,72,-1,8.137645,125.12649,1.0,0,0.0,1,0,7,1,723,160.0,1,0,8,0.0,1,0.0,2016-02-01
2016,2,1,0,4,6,78,1967,34.674866,70.21344,1.0,0,0.0,1,0,3,3,50,4.0,3,0,6,0.0,1,0.0,2016-02-01
2016,2,1,0,147,11,0,-1,11.70719,12.51775,2.0,0,0.0,1,0,3,14,591,147.0,0,0,6,6.0,1,0.0,2016-02-01
2016,2,2,0,160,5,72,-1,7.905447,125.09121,2.0,0,0.0,1,0,7,1,1190,160.0,1,0,8,0.0,1,0.0,2016-02-02
2016,2,2,0,4,6,20,34,36.705776,68.87706,1.0,0,0.0,1,0,2,2,-1,4.0,3,0,5,1.0,1,0.0,2016-02-02
2016,2,2,0,4,6,20,-1,36.712168,69.08671,1.0,0,1.0,1,0,7,17,-1,4.0,3,0,8,0.0,1,0.0,2016-02-02
2016,2,2,0,4,6,20,-1,36.53678,68.899957,3.0,0,1.0,1,0,7,3,-1,4.0,3,0,8,0.0,1,0.0,2016-02-02
2016,2,2,0,182,11,9,10,2.059819,45.326115,1.0,0,0.0,1,1,3,6,-1,182.0,2,0,6,1.0,1,0.0,2016-02-02
2016,2,3,0,160,5,41,-1,7.244258,125.891141,1.0,0,1.0,1,0,3,4,1159,160.0,1,0,6,2.0,0,0.0,2016-02-03
2016,2,3,0,4,6,90,-1,37.068921,71.136208,3.0,0,0.0,1,0,2,14,-1,4.0,3,0,5,1.0,0,0.0,2016-02-03
2016,2,3,0,160,5,41,2156,7.114018,125.932122,1.0,0,1.0,1,0,2,4,1159,160.0,1,0,5,1.0,1,0.0,2016-02-03
2016,2,3,0,160,5,41,-1,7.232277,125.862522,1.0,0,1.0,1,0,3,4,-1,160.0,1,0,6,0.0,1,0.0,2016-02-03
2016,2,5,0,147,11,0,0,11.840929,13.141459,1.0,0,0.0,0,0,3,20,268,147.0,0,0,6,0.0,0,0.0,2016-02-05
2016,2,5,1,4,6,86,-1,35.820598,64.695715,2.0,0,0.0,1,0,6,14,-1,4.0,3,0,9,1.0,0,1.0,2016-02-05
2016,2,5,0,147,11,0,-1,11.512185,14.066288,2.0,0,1.0,1,0,2,14,591,147.0,0,0,5,4.0,1,0.0,2016-02-05
2016,2,6,1,4,6,86,-1,36.776023,64.976009,1.0,0,0.0,1,0,6,19,-1,4.0,3,0,5,1.0,0,1.0,2016-02-06
2016,2,6,0,182,11,9,10,2.059819,45.326115,1.0,0,0.0,1,0,1,2,-1,182.0,2,0,5,1.0,0,0.0,2016-02-06
2016,2,6,0,147,11,136,-1,12.332267,6.40013,2.0,0,0.0,1,0,2,14,591,147.0,0,0,5,12.0,1,0.0,2016-02-06
2016,2,6,0,182,11,13,599,1.716188,44.768864,1.0,0,0.0,1,0,7,3,252,182.0,2,0,8,0.0,1,0.0,2016-02-06
2016,2,7,0,4,6,47,161,34.021194,68.999535,1.0,0,0.0,0,0,1,2,-1,4.0,3,0,6,1.0,1,0.0,2016-02-07
2016,2,7,0,4,6,98,455,36.217655,65.933037,1.0,0,0.0,1,0,1,17,-1,4.0,3,0,6,1.0,0,0.0,2016-02-07
2016,2,7,0,4,6,52,-1,32.538696,67.058389,2.0,0,0.0,1,0,3,3,274,4.0,3,0,6,2.0,0,0.0,2016-02-07
2016,2,7,0,160,5,41,53,7.137387,125.893873,1.0,0,0.0,0,0,2,4,274,160.0,1,0,5,1.0,0,0.0,2016-02-07
2016,2,7,0,160,5,35,-1,7.353278,125.147836,2.0,0,0.0,1,0,1,2,-1,160.0,1,0,5,2.0,0,0.0,2016-02-07
2016,2,8,0,4,6,60,-1,33.862618,64.730109,1.0,0,0.0,1,0,6,14,-1,4.0,3,0,5,2.0,0,1.0,2016-02-08
2016,2,8,0,4,6,58,-1,36.660471,66.982803,3.0,0,0.0,1,1,3,4,-1,4.0,3,0,6,4.0,1,0.0,2016-02-08
2016,2,8,0,4,6,61,-1,33.301788,62.148585,2.0,0,0.0,0,0,2,3,274,4.0,3,0,5,5.0,0,0.0,2016-02-08
2016,2,9,0,182,11,28,-1,3.924791,45.58461,2.0,0,0.0,1,0,6,15,-1,182.0,2,0,9,1.0,0,1.0,2016-02-09
2016,2,9,0,147,11,0,284,12.041981,13.917299,1.0,0,0.0,1,1,3,14,1612,147.0,0,0,6,60.0,-9,0.0,2016-02-09
2016,2,10,0,160,5,49,-1,10.779355,123.488764,2.0,0,0.0,1,0,1,14,-1,160.0,1,0,5,1.0,0,0.0,2016-02-10
2016,2,10,0,160,5,32,2252,13.670775,123.008377,1.0,0,0.0,1,0,2,4,-1,160.0,1,0,5,1.0,0,0.0,2016-02-10
2016,2,10,0,4,6,7,-1,31.641306,65.401251,2.0,0,0.0,1,0,2,3,243,4.0,3,0,5,6.0,0,0.0,2016-02-10
2016,2,10,0,4,6,19,1027,33.335258,69.928467,1.0,0,0.0,0,0,6,2,-1,4.0,3,0,5,0.0,1,0.0,2016-02-10
2016,2,11,1,4,6,98,1018,35.462846,65.935576,3.0,0,0.0,1,0,6,14,6,4.0,3,0,9,1.0,0,1.0,2016-02-11
2016,2,11,0,160,5,49,-1,10.187836,123.004886,1.0,0,0.0,1,0,7,2,-1,160.0,1,0,5,0.0,1,0.0,2016-02-11
2016,2,11,0,160,5,118,-1,17.615512,121.406074,1.0,0,0.0,1,0,2,4,253,160.0,1,0,5,1.0,0,0.0,2016-02-11
2016,2,11,0,160,5,41,2156,7.130275,125.948967,1.0,0,0.0,0,0,2,4,253,160.0,1,0,5,0.0,0,0.0,2016-02-11
2016,2,12,0,160,5,104,735,8.474003,126.118471,1.0,0,0.0,1,0,2,1,261,160.0,1,0,5,2.0,0,0.0,2016-02-12
2016,2,12,0,4,6,86,-1,36.524431,64.915548,1.0,0,0.0,1,0,6,19,-1,4.0,3,0,5,0.0,0,1.0,2016-02-12
2016,2,12,1,4,6,3,-1,32.137698,64.98576,2.0,0,1.0,1,0,6,3,388,4.0,3,0,5,11.0,0,1.0,2016-02-12
2016,2,12,1,147,11,0,-1,11.156318,12.756395,2.0,0,1.0,1,0,6,14,591,147.0,0,0,5,8.0,1,1.0,2016-02-12
2016,2,12,0,160,5,41,-1,7.687185,126.190054,1.0,0,0.0,0,0,2,4,253,160.0,1,0,5,0.0,0,0.0,2016-02-12
2016,2,13,0,147,11,0,-1,11.157066,12.757969,2.0,0,1.0,1,0,5,14,6,147.0,0,0,5,22.0,1,1.0,2016-02-13
2016,2,13,0,4,6,3,-1,32.08908,64.937793,2.0,0,0.0,1,1,3,3,430,4.0,3,0,6,7.0,0,0.0,2016-02-13
2016,2,14,0,182,11,34,-1,2.935672,45.791656,1.0,0,0.0,1,0,6,14,277,182.0,2,0,5,1.0,0,1.0,2016-02-14
2016,2,14,0,147,11,0,2515,11.761901,13.266306,1.0,0,0.0,0,0,3,14,1612,147.0,0,0,6,0.0,0,0.0,2016-02-14
2016,2,15,0,160,5,12,-1,18.06154,121.645806,1.0,0,0.0,1,0,5,1,-1,160.0,1,0,8,0.0,1,1.0,2016-02-15
2016,2,15,0,182,11,9,10,2.059819,45.326115,1.0,0,0.0,1,0,1,2,-1,182.0,2,0,6,1.0,1,0.0,2016-02-15
2016,2,15,0,4,6,20,-1,36.952174,69.1662,2.0,0,0.0,1,0,2,4,388,4.0,3,0,5,5.0,0,0.0,2016-02-15
2016,2,15,0,4,6,20,-1,36.674561,69.062619,1.0,0,0.0,1,0,2,3,274,4.0,3,0,5,5.0,0,0.0,2016-02-15
2016,2,16,0,160,5,12,-1,17.983455,121.933884,1.0,0,1.0,1,0,7,1,-1,160.0,1,0,8,0.0,1,0.0,2016-02-16
2016,2,16,0,160,5,12,-1,17.968716,121.931521,1.0,0,1.0,1,0,3,3,243,160.0,1,0,6,8.0,0,0.0,2016-02-16
2016,2,16,0,182,11,13,-1,2.138841,45.120668,2.0,0,1.0,1,0,2,4,274,182.0,2,0,5,4.0,1,0.0,2016-02-16
2016,2,18,0,182,11,5,389,-0.357847,42.54665,1.0,0,0.0,0,0,1,2,-1,182.0,2,0,6,0.0,0,0.0,2016-02-18
2016,2,18,0,4,6,11,-1,32.221243,68.295515,2.0,0,0.0,1,0,3,4,436,4.0,3,0,6,6.0,1,0.0,2016-02-18
2016,2,18,0,160,5,49,-1,9.826864,122.642296,1.0,0,0.0,1,0,2,3,632,160.0,1,0,5,2.0,0,0.0,2016-02-18
2016,2,18,0,160,5,30,-1,6.308455,124.845185,1.0,0,0.0,1,0,7,1,-1,101.0,1,0,5,0.0,1,0.0,2016-02-18
2016,2,19,0,160,5,72,-1,8.090201,125.323546,1.0,0,0.0,0,0,3,20,268,160.0,1,0,6,1.0,0,0.0,2016-02-19
2016,2,19,0,37,11,116,-1,10.866518,14.150657,1.0,0,0.0,1,1,3,8,294,37.0,0,0,6,2.0,0,0.0,2016-02-19
2016,2,20,0,4,6,66,2152,35.947552,68.710327,1.0,0,0.0,1,0,3,14,1396,4.0,3,0,6,0.0,-9,0.0,2016-02-20
2016,2,21,0,160,5,103,-1,12.708414,123.359088,2.0,0,0.0,1,0,6,14,-1,160.0,1,0,5,1.0,0,1.0,2016-02-21
2016,2,21,1,4,6,47,440,34.117556,69.632802,1.0,0,0.0,1,0,6,14,973,4.0,3,0,5,0.0,0,1.0,2016-02-21
2016,2,21,0,4,6,45,1358,36.187668,65.350536,3.0,0,0.0,1,0,6,4,-1,4.0,3,0,9,2.0,0,1.0,2016-02-21
