iyear,imonth,iday,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,gname,individual,weaptype1,nkill,property,ishostkid
1970,6,26,0,603,8,0,0,55.011562,-7.312045,1.0,0,0.0,0,0,2,17,0,233.0,0,0,8,5.0,1,0.0
1970,6,27,0,603,8,0,0,55.011562,-7.312045,1.0,0,0.0,1,0,2,14,1,233.0,0,0,5,3.0,0,0.0
1970,6,27,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,2,14,2,233.0,0,0,5,1.0,0,0.0
1970,6,27,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,2,14,3,233.0,0,0,5,1.0,0,0.0
1970,6,27,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,2,15,4,233.0,1,0,5,3.0,0,0.0
1970,8,11,0,603,8,0,2,54.077313,-6.608787,1.0,0,0.0,1,0,3,3,5,233.0,0,0,6,2.0,1,0.0
1970,9,4,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,0,0,3,17,6,233.0,0,0,6,1.0,1,0.0
1970,9,30,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,2,14,7,233.0,2,0,5,1.0,0,0.0
1970,11,16,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,2,14,8,233.0,0,0,5,2.0,0,0.0
1971,1,27,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,14,9,233.0,0,0,5,1.0,0,0.0
1971,2,6,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,10,216.0,0,0,5,1.0,0,0.0
1971,2,9,0,603,8,0,3,54.452223,-7.486124,1.0,0,0.0,1,0,3,4,11,216.0,0,0,6,5.0,1,0.0
1971,2,15,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,12,216.0,0,0,5,1.0,0,0.0
1971,2,26,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,3,13,233.0,0,0,5,2.0,0,0.0
1971,3,10,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,14,216.0,0,0,5,1.0,0,0.0
1971,5,8,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,7,1,15,233.0,2,0,8,1.0,1,0.0
1971,5,25,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,3,4,16,216.0,0,0,6,1.0,1,0.0
1971,7,12,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,17,216.0,0,0,5,1.0,0,0.0
1971,7,14,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,18,216.0,0,0,5,1.0,0,0.0
1971,8,8,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,19,216.0,0,0,5,1.0,0,0.0
1971,8,9,0,603,8,0,4,54.794884,-7.537385,1.0,0,0.0,1,0,1,4,20,233.0,0,0,5,1.0,0,0.0
1971,8,10,0,603,8,0,0,55.011562,-7.312045,1.0,0,0.0,1,0,1,4,21,216.0,0,0,5,1.0,0,0.0
1971,8,25,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,22,216.0,0,0,5,1.0,0,0.0
1971,8,25,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,3,1,23,233.0,0,0,6,1.0,1,0.0
1971,8,29,0,603,8,0,2,54.077313,-6.608787,1.0,0,0.0,1,0,1,4,24,216.0,0,0,5,1.0,0,0.0
1971,8,30,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,25,216.0,0,0,5,1.0,0,0.0
1971,9,3,0,603,8,0,5,54.22641,-7.649053,1.0,0,0.0,1,0,1,4,26,233.0,0,0,5,1.0,0,0.0
1971,9,3,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,0,0,1,4,27,216.0,0,0,5,1.0,0,0.0
1971,9,9,0,603,8,0,6,54.552254,-6.086832,4.0,0,0.0,1,0,3,4,28,216.0,0,0,6,1.0,1,0.0
1971,9,13,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,0,0,3,14,29,233.0,2,0,6,1.0,1,0.0
1971,9,13,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,0,0,3,14,30,233.0,2,0,6,1.0,1,0.0
1971,9,14,0,603,8,0,7,54.531707,-6.737144,1.0,0,0.0,1,0,1,4,31,216.0,0,0,5,1.0,0,0.0
1971,9,14,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,32,216.0,0,0,5,1.0,0,0.0
1971,9,16,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,14,33,233.0,2,0,5,1.0,0,0.0
1971,9,16,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,34,216.0,0,0,5,1.0,0,0.0
1971,9,17,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,35,216.0,0,0,5,1.0,0,0.0
1971,9,18,0,603,8,0,8,54.819164,-7.467909,1.0,0,0.0,1,0,1,3,36,233.0,0,0,5,1.0,0,0.0
1971,9,28,0,603,8,0,0,55.011562,-7.312045,1.0,0,0.0,1,0,1,4,37,216.0,0,0,5,1.0,0,0.0
1971,9,29,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,3,1,38,233.0,0,0,6,2.0,1,0.0
1971,9,30,0,603,8,0,0,55.011562,-7.312045,1.0,0,0.0,1,0,1,4,39,216.0,0,0,5,1.0,0,0.0
1971,10,1,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,40,216.0,0,0,5,1.0,0,0.0
1971,10,2,0,603,8,0,9,54.530989,-6.02939,1.0,0,0.0,0,0,3,21,41,233.0,0,0,6,1.0,1,0.0
1971,10,3,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,11,216.0,0,0,5,1.0,0,0.0
1971,10,9,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,3,1,42,233.0,1,0,6,1.0,1,0.0
1971,10,15,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,3,43,233.0,0,0,5,2.0,0,0.0
1971,10,15,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,44,216.0,0,0,5,1.0,0,0.0
1971,10,16,0,603,8,0,0,55.011562,-7.312045,1.0,0,0.0,1,0,1,4,45,216.0,0,0,5,1.0,0,0.0
1971,10,17,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,46,216.0,0,0,5,1.0,0,0.0
1971,10,23,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,47,216.0,0,0,5,1.0,0,0.0
1971,10,24,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,3,1,11,233.0,0,0,6,1.0,1,0.0
1971,10,26,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,14,48,233.0,0,0,5,1.0,0,0.0
1971,10,27,0,603,8,0,0,55.011562,-7.312045,1.0,0,0.0,1,0,3,4,49,216.0,0,0,6,2.0,1,0.0
1971,11,1,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,3,50,233.0,0,0,5,2.0,0,0.0
1971,11,2,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,3,1,51,233.0,0,0,6,3.0,1,0.0
1971,11,7,0,603,8,0,10,54.463367,-6.328597,1.0,0,0.0,1,0,1,4,52,216.0,0,0,5,1.0,0,0.0
1971,11,9,0,603,8,0,0,55.011562,-7.312045,1.0,0,0.0,1,0,1,4,53,216.0,0,0,5,1.0,0,0.0
1971,11,11,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,3,54,233.0,0,0,5,2.0,0,0.0
1971,11,18,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,55,216.0,0,0,5,1.0,0,0.0
1971,11,24,0,603,8,0,8,54.819164,-7.467909,1.0,0,0.0,1,0,2,4,11,216.0,0,0,5,1.0,0,0.0
1971,11,24,0,603,8,0,10,54.463367,-6.328597,1.0,0,0.0,1,0,3,4,56,216.0,0,0,6,1.0,1,0.0
1971,11,27,0,603,8,0,11,54.183052,-6.341388,1.0,0,0.0,1,0,3,4,57,233.0,0,0,6,2.0,1,0.0
1971,11,27,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,58,216.0,0,0,5,1.0,0,0.0
1971,11,28,0,603,8,0,1,54.607712,-5.95621,1.0,0,0.0,1,0,1,3,59,233.0,0,0,5,1.0,0,0.0
1971,11,29,0,603,8,0,2,54.077313,-6.608787,1.0,0,0.0,1,0,1,4,60,216.0,0,0,5,1.0,0,0.0
