iyear,imonth,iday,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,gname,individual,weaptype1,nkill,property,ishostkid,attack_date
2011,1,1,0,147,11,0,0,11.840929,13.141459,1.0,0,0.0,1,0,7,15,0,147.0,0,0,8,0.0,1,0.0,2011-01-01
2011,1,3,0,147,11,0,0,11.840929,13.141459,1.0,0,0.0,1,0,2,3,1,147.0,0,0,5,1.0,-9,0.0,2011-01-03
2011,1,4,0,160,5,1,1,14.67428,121.057495,1.0,0,0.0,1,0,1,2,2,160.0,1,0,5,1.0,0,0.0,2011-01-04
2011,1,4,0,182,11,2,2,3.115641,43.64658,1.0,0,0.0,1,0,2,14,3,182.0,2,0,9,0.0,0,0.0,2011-01-04
2011,1,4,1,4,6,3,3,32.073333,64.833889,1.0,0,0.0,1,0,6,14,4,4.0,3,0,9,0.0,-9,1.0,2011-01-04
2011,1,5,0,160,5,4,4,6.96212,125.475492,1.0,1,0.0,1,0,2,14,5,160.0,1,0,5,1.0,0,0.0,2011-01-05
2011,1,6,0,182,11,5,5,-0.249257,42.601334,1.0,0,0.0,1,0,2,14,3,182.0,2,0,5,1.0,-9,0.0,2011-01-06
2011,1,7,0,147,11,6,6,10.286653,11.163861,1.0,0,0.0,1,0,2,14,6,147.0,0,0,5,8.0,-9,0.0,2011-01-07
2011,1,8,0,160,5,4,7,6.287156,125.504338,1.0,0,0.0,1,0,6,14,7,160.0,1,0,5,1.0,0,1.0,2011-01-08
2011,1,14,0,4,6,7,8,31.65003,65.65002,1.0,0,0.0,1,0,8,1,8,4.0,3,0,9,0.0,1,0.0,2011-01-14
2011,1,15,0,4,6,8,9,33.429772,66.213144,1.0,0,0.0,1,0,2,3,9,4.0,3,0,5,1.0,-9,0.0,2011-01-15
2011,1,17,0,182,11,9,10,2.059819,45.326115,1.0,0,0.0,1,0,3,2,10,182.0,2,0,6,5.0,-9,0.0,2011-01-17
2011,1,19,0,4,6,10,11,34.080556,68.519167,1.0,0,0.0,0,0,4,14,11,4.0,3,0,5,1.0,-9,0.0,2011-01-19
