eventid,extended,enc_country,enc_region,enc_province,latitude,longitude,specificity,vicinity,doubtterr,multiple,success,suicide,enc_attacktype,enc_target,enc_nationality,enc_group,guncertain1,individual,enc_weapon_type,enc_weapon_subtype,killed,wounded,property,hostages/kidnapping,ransom,cross_border,ideological_international,INT_MISC,attack_date,unique_id,enc_city,enc_target_type,enc_target_subtype,enc_target_entity
197001060001,0,217,1,102,39.758968,-104.876305,1.0,0,1.0,0.0,1,0,3,4,93,Left-Wing Militants,0.0,0,4,19.0,0.0,0.0,1,0.0,0.0,-9,-9,0,1970-01-06,5,409,9,46,379
197001090001,0,217,1,281,42.331685,-83.047924,1.0,0,0.0,0.0,1,0,3,2,93,Left-Wing Militants,0.0,0,4,19.0,0.0,0.0,1,0.0,0.0,-9,-9,0,1970-01-09,6,417,6,25,3545
197001270002,0,217,1,325,41.241996,-82.615241,1.0,0,0.0,0.0,1,0,3,2,93,Left-Wing Militants,0.0,0,4,18.0,0.0,0.0,1,0.0,0.0,-9,-9,0,1970-01-27,22,994,6,25,4389
197002010001,0,217,1,332,45.511795,-122.675629,1.0,0,1.0,0.0,1,0,3,2,93,Left-Wing Militants,0.0,0,4,20.0,0.0,0.0,1,0.0,0.0,-9,-9,0,1970-02-01,27,1115,6,25,4383
197002150001,0,217,1,307,40.697132,-73.931351,1.0,0,0.0,0.0,1,0,2,1,93,Left-Wing Militants,0.0,0,1,16.0,0.0,0.0,1,0.0,0.0,-9,-9,0,1970-02-15,46,982,2,5,913
197002160004,0,217,1,71,37.755363,-122.443352,1.0,0,0.0,1.0,0,0,0,3,93,Left-Wing Militants,0.0,0,3,4.0,0.0,0.0,0,0.0,0.0,-9,-9,0,1970-02-16,48,1225,12,68,4284
197002200001,0,217,1,103,41.763325,-72.674069,1.0,0,0.0,0.0,1,0,3,2,93,Left-Wing Militants,0.0,0,4,19.0,0.0,0.0,1,0.0,0.0,-9,-9,0,1970-02-20,53,607,6,35,4997
197002210003,0,217,1,307,40.697132,-73.931351,1.0,0,0.0,0.0,0,0,3,3,93,Left-Wing Militants,1.0,0,4,20.0,0.0,0.0,0,0.0,0.0,-9,-9,0,1970-02-21,58,982,12,65,908
197002210004,0,217,1,307,40.697132,-73.931351,1.0,0,0.0,0.0,1,0,3,4,93,Left-Wing Militants,1.0,0,4,20.0,0.0,0.0,1,0.0,0.0,-9,-9,0,1970-02-21,59,982,9,46,375
197002230005,0,217,1,26,32.222232,-110.925752,1.0,0,0.0,0.0,1,0,2,4,93,Left-Wing Militants,0.0,0,1,28.0,0.0,0.0,1,0.0,0.0,-9,-9,0,1970-02-23,68,1402,9,43,4379
197003010006,0,217,1,102,38.864281,-104.778412,1.0,0,0.0,0.0,1,0,3,4,93,Left-Wing Militants,0.0,0,4,19.0,0.0,0.0,1,0.0,0.0,-9,-9,0,1970-03-01,74,355,9,43,4376
197003010008,0,217,1,102,40.014986,-105.270546,1.0,0,0.0,0.0,1,0,2,3,93,Left-Wing Militants,0.0,0,1,28.0,0.0,0.0,1,0.0,0.0,-9,-9,0,1970-03-01,76,226,12,67,3745
197003030002,0,217,1,102,39.758968,-104.876305,1.0,0,1.0,0.0,1,0,2,14,-1,Left-Wing Militants,0.0,0,1,28.0,0.0,0.0,1,0.0,0.0,-9,-9,-9,1970-03-03,78,409,13,98,1652
197003040001,0,217,1,71,37.791927,-122.225906,1.0,0,0.0,0.0,0,0,2,4,93,Left-Wing Militants,0.0,0,1,14.0,0.0,0.0,0,0.0,0.0,-9,-9,0,1970-03-04,80,1003,9,43,3410
197003040003,0,217,1,102,39.758968,-104.876305,1.0,0,1.0,0.0,1,0,2,14,-1,Left-Wing Militants,0.0,0,1,28.0,0.0,0.0,1,0.0,0.0,-9,-9,-9,1970-03-04,81,409,13,98,1652
