eventid,extended,enc_country,enc_region,enc_province,latitude,longitude,specificity,vicinity,doubtterr,multiple,success,suicide,enc_attacktype,enc_target,enc_nationality,enc_group,guncertain1,individual,enc_weapon_type,enc_weapon_subtype,killed,wounded,property,hostages/kidnapping,ransom,cross_border,ideological_international,INT_MISC,attack_date,unique_id,enc_city,enc_target_type,enc_target_subtype,enc_target_entity
198101010001,0,155,10,957,31.784838,35.224613,1.0,0,0.0,0.0,0,0,2,1,63,Palestinians,0.0,0,2,7.0,0.0,0.0,0,0.0,0.0,0,0,0,1981-01-01,0,3001,2,89,3559
198101010008,0,96,8,509,53.971822,-6.486281,1.0,0,0.0,0.0,1,0,1,14,99,Irish Republican Army (IRA),0.0,0,4,5.0,1.0,,0,1.0,0.0,1,0,1,1981-01-01,2,3318,13,38,3984
198101020002,0,159,3,247,-13.531688,-71.966924,1.0,0,0.0,0.0,1,0,2,1,106,Shining Path (SL),1.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,0,0,1981-01-02,3,1680,2,6,-1
198101020003,0,45,3,193,2.5,-76.883333,2.0,0,0.0,0.0,1,0,0,3,24,Revolutionary Armed Forces of Colombia (FARC),0.0,0,4,2.0,1.0,1.0,1,0.0,0.0,0,0,0,1981-01-02,4,4336,12,72,8887
198101040002,0,185,8,105,43.311307,-1.900896,1.0,0,0.0,0.0,1,0,1,1,127,Basque Fatherland and Freedom (ETA),1.0,0,4,3.0,1.0,0.0,0,0.0,0.0,0,1,0,1981-01-04,6,2216,2,89,1209
198101040005,0,45,3,145,5.53168,-74.10442,1.0,0,0.0,0.0,1,0,0,3,24,Revolutionary Armed Forces of Colombia (FARC),0.0,0,4,2.0,2.0,0.0,1,0.0,0.0,0,0,0,1981-01-04,9,4540,12,73,8931
198101050001,0,185,8,105,43.291618,-1.977903,1.0,0,0.0,0.0,0,0,1,2,127,Basque Fatherland and Freedom (ETA),0.0,0,5,,0.0,1.0,0,0.0,0.0,0,1,0,1981-01-05,10,1843,6,26,6049
198101090002,0,185,8,105,43.258434,-2.921819,1.0,0,0.0,0.0,0,0,0,3,127,Basque Fatherland and Freedom (ETA),1.0,0,4,2.0,0.0,1.0,0,0.0,0.0,0,1,0,1981-01-09,24,793,12,73,15377
198101090005,0,97,10,402,31.771599,35.2034,1.0,0,0.0,0.0,0,0,2,14,63,Palestinians,0.0,0,2,14.0,0.0,0.0,0,0.0,0.0,1,0,0,1981-01-09,25,3001,13,40,14144
198101120003,0,61,2,245,13.738644,-88.979856,1.0,0,0.0,0.0,1,0,0,14,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,0.0,0.0,0,0,0,1981-01-12,31,6001,13,57,10361
198101120004,0,61,2,468,13.624722,-87.893611,1.0,0,0.0,0.0,1,0,0,14,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,0.0,0.0,0,0,0,1981-01-12,32,6023,13,57,10374
198101150001,0,45,3,43,6.242026,-75.564766,1.0,0,-9.0,0.0,1,0,0,20,24,Death Squad,0.0,0,4,3.0,3.0,0.0,0,0.0,0.0,-9,-9,0,1981-01-15,35,4264,19,-1,15338
198101160002,0,603,8,661,54.102813,-6.259412,1.0,0,0.0,0.0,1,0,0,2,46,Irish Republican Army (IRA),0.0,0,4,5.0,1.0,0.0,0,0.0,0.0,0,0,1,1981-01-16,37,7025,6,26,12386
198101160003,0,603,8,661,54.536706,-6.70361,1.0,0,-9.0,0.0,0,0,1,14,46,Protestant extremists,0.0,0,4,5.0,0.0,2.0,0,0.0,0.0,-9,-9,1,1981-01-16,38,1522,13,87,1763
198101170001,0,61,2,468,13.582486,-87.94546,1.0,0,1.0,0.0,1,0,0,4,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,87.0,0.0,1,0.0,0.0,0,0,0,1981-01-17,40,164,9,50,7363
198101180001,0,45,3,145,5.975153,-74.586142,1.0,0,0.0,0.0,1,0,1,2,24,Revolutionary Armed Forces of Colombia (FARC),0.0,0,4,2.0,1.0,0.0,0,0.0,0.0,0,0,0,1981-01-18,41,5308,6,36,6067
198101180006,0,159,3,80,-13.152712,-74.218628,1.0,0,0.0,0.0,0,0,2,9,106,Shining Path (SL),0.0,0,2,16.0,0.0,0.0,0,0.0,0.0,0,0,0,1981-01-18,44,444,4,108,12876
198101190001,0,45,3,184,1.03405,-75.91928,1.0,0,0.0,0.0,1,0,1,3,24,M-19 (Movement of April 19),0.0,0,4,3.0,1.0,0.0,0,0.0,0.0,0,0,0,1981-01-19,45,1675,12,73,8969
198101190005,0,159,3,372,-12.787148,-74.973207,1.0,0,0.0,0.0,1,0,2,3,106,Shining Path (SL),1.0,0,2,16.0,,,1,0.0,0.0,0,0,0,1981-01-19,46,2748,12,70,8657
198101190006,0,45,3,184,1.03405,-75.91928,1.0,0,0.0,0.0,1,0,0,19,24,M-19 (Movement of April 19),0.0,0,4,2.0,3.0,3.0,1,0.0,0.0,0,0,0,1981-01-19,47,1675,18,8,2096
198101190007,0,45,3,184,1.03405,-75.91928,1.0,0,0.0,0.0,1,0,0,3,24,M-19 (Movement of April 19),0.0,0,4,2.0,5.0,0.0,1,0.0,0.0,0,0,0,1981-01-19,48,1675,12,73,8931
198101190010,0,185,8,105,43.291618,-1.977903,1.0,0,0.0,0.0,1,0,2,2,127,Basque Fatherland and Freedom (ETA),0.0,0,2,7.0,,,1,0.0,0.0,0,1,0,1981-01-19,50,1843,6,25,4687
198101200002,0,61,2,795,13.957222,-89.189722,1.0,0,1.0,0.0,1,0,0,4,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,0.0,0.0,0,0,0,1981-01-20,51,89,9,50,7354
198101200003,0,61,2,798,13.981479,-89.555717,1.0,0,1.0,0.0,1,0,0,4,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,12.0,0.0,1,0.0,0.0,0,0,0,1981-01-20,52,5990,9,50,7354
198101200004,0,61,2,795,13.973611,-89.218611,1.0,0,1.0,0.0,1,0,0,4,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,17.0,0.0,1,0.0,0.0,0,0,0,1981-01-20,53,2067,9,50,7354
198101200006,0,603,8,661,55.011562,-7.312045,1.0,0,1.0,0.0,1,0,0,4,46,Irish Republican Army (IRA),0.0,0,4,5.0,1.0,1.0,1,0.0,0.0,0,0,1,1981-01-20,55,3844,9,50,14273
198101200008,0,603,8,661,54.088462,-6.37122,1.0,0,0.0,0.0,1,0,1,17,99,Irish Republican Army (IRA),0.0,0,4,5.0,1.0,,0,0.0,0.0,0,0,1,1981-01-20,57,3031,16,100,6931
198101210001,0,603,8,661,54.347539,-6.656108,1.0,0,0.0,0.0,1,0,1,2,46,Irish Republican Army (IRA),0.0,0,4,5.0,2.0,0.0,0,0.0,0.0,0,0,1,1981-01-21,58,369,6,26,10698
198101210004,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,2,21,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,0,0,1981-01-21,59,5955,20,17,3851
198101210007,0,61,2,795,13.733353,-89.216671,1.0,0,1.0,0.0,1,0,0,4,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,0.0,0.0,0,0,0,1981-01-21,60,4313,9,50,7354
198101210008,0,61,2,245,13.682638,-88.926466,1.0,0,1.0,0.0,1,0,0,4,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,0.0,0.0,0,0,0,1981-01-21,61,5952,9,50,7354
198101210009,0,61,2,795,13.749885,-89.199936,1.0,0,1.0,0.0,1,0,0,4,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,0.0,0.0,0,0,0,1981-01-21,62,454,9,50,7354
