eventid,extended,enc_country,enc_region,enc_province,latitude,longitude,specificity,vicinity,doubtterr,multiple,success,suicide,enc_attacktype,enc_target,entity,enc_nationality,enc_group,motive,guncertain1,individual,nperpcap,claimed,enc_weapon_type,enc_weapon_subtype,killed,nkillus,nkillter,wounded,nwoundus,nwoundte,property,hostages/kidnapping,cross_border,ideological_international,INT_MISC,attack_date,unique_id,enc_city,enc_target_type,enc_target_subtype,enc_target_entity
199601040003,0,186,6,319,7.414383,81.830633,1.0,0,0.0,0.0,1,0,2,16,Govt,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,2,16.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-01-04,7,2562,15,97,9134
199601040005,0,45,3,257,8.04053,-77.09336,1.0,0,0.0,0.0,1,0,2,3,government,29,Revolutionary Armed Forces of Colombia (FARC),,0.0,0,,,2,11.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-01-04,9,5668,12,73,11624
199601050005,0,186,6,319,8.577826,81.218719,1.0,1,0.0,0.0,1,0,1,14,Unk,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,4,5.0,2.0,,,0.0,,,0,0.0,0,0,0,1996-01-05,14,5603,13,83,9085
199601050015,0,78,8,88,37.99749,23.762728,1.0,0,0.0,0.0,1,0,3,6,Turkish Airlines,149,Kurdistan Workers' Party (PKK),,0.0,0,,,6,21.0,0.0,,,0.0,,,1,0.0,1,0,1,1996-01-05,23,366,1,2,10786
199601060002,0,45,3,911,9.52287,-75.5795,1.0,1,0.0,0.0,1,0,2,16,Ecopetrol,29,Revolutionary Armed Forces of Colombia (FARC),,0.0,0,,,2,16.0,3.0,,,5.0,,,1,0.0,0,0,0,1996-01-06,24,5573,15,-1,11521
199601080003,0,45,3,65,7.027345,-71.428555,3.0,0,0.0,1.0,1,0,2,21,Ecopetrol,29,National Liberation Army of Colombia (ELN),,0.0,0,,,2,28.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-01-08,29,295,20,62,3170
199601080004,0,45,3,65,7.027345,-71.428555,3.0,0,0.0,1.0,1,0,2,21,Ecopetrol,29,National Liberation Army of Colombia (ELN),,0.0,0,,,2,28.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-01-08,30,295,20,62,3170
199601090010,0,6,10,38,36.713249,3.085038,2.0,0,0.0,0.0,1,0,1,10,,2,Armed Islamic Group (GIA),,0.0,0,,,4,5.0,1.0,,,0.0,,,0,0.0,0,0,0,1996-01-09,88,104,7,60,6040
199601130003,0,6,10,38,36.763763,3.055413,1.0,0,0.0,0.0,1,0,1,10,,2,Armed Islamic Group (GIA),,0.0,0,,,4,5.0,1.0,,,1.0,,,0,0.0,0,0,0,1996-01-13,96,177,7,60,6043
199601150002,0,155,10,1014,31.704338,35.194355,1.0,0,0.0,0.0,0,0,1,14,,71,Hamas (Islamic Resistance Movement),,1.0,0,,,4,5.0,0.0,,,1.0,,,0,0.0,0,0,0,1996-01-15,98,772,13,88,5982
